paper_id,conference,analysis_stratum,module,paragraph_index,atom_position,move,estimated_words
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,1,1,context,155
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,1,2,problem,155
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,1,3,core_idea,155
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,2,1,method_preview,88
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,3,1,experimental_setup,105
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,4,1,result_preview,84
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,5,1,contribution_list,36
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,6,1,contribution_list,43
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,7,1,contribution_list,28
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,1,1,taxonomy,250
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,1,2,credit_or_foundation,250
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,2,1,nearest_neighbor_contrast,58
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,2,2,gap_creation,58
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,3,1,taxonomy,89
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,3,2,limitation_of_prior,89
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,4,1,gap_creation,24
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,4,2,method_preview,24
iclr-2026-8da8f79c49d5,ICLR,oral,method,1,1,state_problem,34
iclr-2026-8da8f79c49d5,ICLR,oral,method,2,1,credit_or_foundation,40
iclr-2026-8da8f79c49d5,ICLR,oral,method,2,2,define_component,40
iclr-2026-8da8f79c49d5,ICLR,oral,method,3,1,instantiate_algorithm,31
iclr-2026-8da8f79c49d5,ICLR,oral,method,4,1,define_component,92
iclr-2026-8da8f79c49d5,ICLR,oral,method,5,1,define_component,115
iclr-2026-8da8f79c49d5,ICLR,oral,method,5,2,explain_mechanism,115
iclr-2026-8da8f79c49d5,ICLR,oral,method,6,1,instantiate_algorithm,172
iclr-2026-8da8f79c49d5,ICLR,oral,method,7,1,define_component,165
iclr-2026-8da8f79c49d5,ICLR,oral,method,8,1,connect_to_experiment,55
iclr-2026-8da8f79c49d5,ICLR,oral,method,9,1,contrast_alternative,57
iclr-2026-8da8f79c49d5,ICLR,oral,method,10,1,state_problem,93
iclr-2026-8da8f79c49d5,ICLR,oral,method,10,2,give_intuition,93
iclr-2026-8da8f79c49d5,ICLR,oral,method,11,1,define_component,144
iclr-2026-8da8f79c49d5,ICLR,oral,method,11,2,explain_mechanism,144
iclr-2026-8da8f79c49d5,ICLR,oral,method,12,1,instantiate_algorithm,74
iclr-2026-8da8f79c49d5,ICLR,oral,method,13,1,connect_to_experiment,156
iclr-2026-8da8f79c49d5,ICLR,oral,method,13,2,summarize,156
iclr-2026-ff40de6c7ac1,ICLR,oral,introduction,1,1,problem,147
iclr-2026-ff40de6c7ac1,ICLR,oral,introduction,2,1,core_idea,191
iclr-2026-ff40de6c7ac1,ICLR,oral,introduction,3,1,result_preview,172
iclr-2026-ff40de6c7ac1,ICLR,oral,introduction,4,1,contribution_list,95
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,1,1,taxonomy,165
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,1,2,limitation_of_prior,165
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,2,1,nearest_neighbor_contrast,191
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,2,2,gap_creation,191
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,3,1,taxonomy,333
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,3,2,positioning_only,333
iclr-2026-ff40de6c7ac1,ICLR,oral,method,1,1,state_problem,103
iclr-2026-ff40de6c7ac1,ICLR,oral,method,2,1,setup_notation,119
iclr-2026-ff40de6c7ac1,ICLR,oral,method,3,1,derive,70
iclr-2026-ff40de6c7ac1,ICLR,oral,method,4,1,instantiate_algorithm,83
