paper_id,conference,analysis_stratum,module,status,estimated_words,main_word_share,figures,tables,algorithms,displayed_equations
iclr-2026-8da8f79c49d5,ICLR,oral,abstract,observed,218,0.039,0,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,introduction,observed,539,0.096,0,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,related_work,observed,421,0.075,0,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,method,observed,541,0.096,1,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,theory,not_applicable,0,0.0,0,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,experimental_design,observed,1235,0.219,4,1,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,results,observed,2090,0.371,1,1,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,ablation,observed,440,0.078,0,2,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,conclusion,observed,90,0.016,0,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,limitations,observed,95,0.0,0,0,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,appendix,observed,6100,,15,13,0,0
iclr-2026-8da8f79c49d5,ICLR,oral,other,observed,58,0.01,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,abstract,observed,212,0.0371,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,introduction,observed,605,0.106,1,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,related_work,observed,689,0.1207,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,method,observed,1213,0.2125,0,0,0,7
iclr-2026-ff40de6c7ac1,ICLR,oral,theory,observed,244,0.0427,0,0,0,4
iclr-2026-ff40de6c7ac1,ICLR,oral,experimental_design,observed,154,0.027,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,results,observed,1934,0.3388,3,4,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,ablation,observed,45,0.0079,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,conclusion,observed,125,0.0219,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,limitations,not_present,0,0,0,0,0,0
iclr-2026-ff40de6c7ac1,ICLR,oral,appendix,observed,15438,,15,11,0,15
iclr-2026-ff40de6c7ac1,ICLR,oral,other,observed,112,0.0196,0,0,0,0
iclr-2026-707ee355091a,ICLR,oral,abstract,observed,207,0.0348,0,0,0,0
iclr-2026-707ee355091a,ICLR,oral,introduction,observed,711,0.1195,0,0,0,0
iclr-2026-707ee355091a,ICLR,oral,related_work,observed,739,0.1242,0,0,0,2
iclr-2026-707ee355091a,ICLR,oral,method,observed,1000,0.1681,0,0,0,12
iclr-2026-707ee355091a,ICLR,oral,theory,observed,1154,0.194,0,0,0,8
iclr-2026-707ee355091a,ICLR,oral,experimental_design,observed,590,0.0992,0,0,0,4
iclr-2026-707ee355091a,ICLR,oral,results,observed,1100,0.1849,0,3,0,0
iclr-2026-707ee355091a,ICLR,oral,ablation,observed,191,0.0321,0,1,0,0
iclr-2026-707ee355091a,ICLR,oral,conclusion,observed,120,0.0202,0,0,0,0
iclr-2026-707ee355091a,ICLR,oral,limitations,observed,136,0.0229,0,0,0,0
iclr-2026-707ee355091a,ICLR,oral,appendix,observed,4750,,3,4,0,33
iclr-2026-707ee355091a,ICLR,oral,other,observed,35,,0,0,0,0
iclr-2026-3dfd982128a2,ICLR,oral,abstract,observed,163,0.028,0,0,0,0
iclr-2026-3dfd982128a2,ICLR,oral,introduction,observed,945,0.16,1,0,0,1
iclr-2026-3dfd982128a2,ICLR,oral,related_work,observed,488,0.083,0,0,0,0
iclr-2026-3dfd982128a2,ICLR,oral,method,observed,2728,0.462,3,0,0,4
iclr-2026-3dfd982128a2,ICLR,oral,theory,not_present,0,0,0,0,0,0
iclr-2026-3dfd982128a2,ICLR,oral,experimental_design,observed,550,0.093,0,0,0,0
iclr-2026-3dfd982128a2,ICLR,oral,results,observed,664,0.112,2,1,0,0
iclr-2026-3dfd982128a2,ICLR,oral,ablation,observed,279,0.047,2,0,0,0
iclr-2026-3dfd982128a2,ICLR,oral,conclusion,observed,87,0.015,0,0,0,0
