paper_id,conference,analysis_stratum,name,status,description,limitation_type,strategy,evidence_pages,evidence_sections
iclr-2026-8da8f79c49d5,ICLR,oral,prelisted_research_questions,not_present,正文未以RQ或hypothesis清单预注册研究问题；贡献清单列产物而非可判定假设。,,,3,1 Introduction
iclr-2026-8da8f79c49d5,ICLR,oral,benchmark_hierarchy,observed,"10 main categories × 5 subcategories × 7 scenarios × 3 prompt variations = 1,050 prompts；分Fundamental、Composite、Anti-Physics三层。",,,1|5,Figure 1|3.1 Dataset Creation Pipeline
iclr-2026-8da8f79c49d5,ICLR,oral,prompt_creation,observed,GPT-4o/Gemini各生成20个Event Prompts，人工选7个；Physics-Enhanced由人工写，Detailed由LLM生成后人工核验。,,,5|13,3.1 Dataset Creation Pipeline|C Annotation Details
iclr-2026-8da8f79c49d5,ICLR,oral,evaluation_targets,observed,"12个生成模型，每个模型1050 videos，共12,600 outputs；5个proprietary、7个open-source。",,,3|7,1 Introduction|4 Video Generation Results
iclr-2026-8da8f79c49d5,ICLR,oral,binary_outcome_definition,observed,SA要求对象数量与事件均满足；PC要求所有Key Standards满足；Both为SA=1且PC=1。,,,6|13,3.1 Dataset Creation Pipeline|B Benchmark Details
iclr-2026-8da8f79c49d5,ICLR,oral,human_evaluation,observed,MTurk每个video由3名独立标注者评估，majority vote；报酬18 USD/hour。,,,13|13,C Annotation Details|C Annotation Details
iclr-2026-8da8f79c49d5,ICLR,oral,automatic_evaluation,observed,CAP均匀抽取8帧，先描述object/event/physics，再结构化Yes/No；主实验使用GPT-o1并以human labels评ROC-AUC。,,,7|18,3.3 MLLM Evaluator|K Query Used
iclr-2026-8da8f79c49d5,ICLR,oral,automatic_baselines,observed,自动评估基线为Qwen-VL-2.0、Gemini-2.0-Flash、GPT-4o、GPT-o1，并做去CoT/去Context消融。,,,7,Table 2
iclr-2026-8da8f79c49d5,ICLR,oral,prompt_type_control,observed,prompt variation效应只在开源模型上分析，因为proprietary refinement不可核验。,,,8,4.3 Effect of Prompt Enhancement
iclr-2026-8da8f79c49d5,ICLR,oral,paired_failure_tests,observed,abrupt/non-abrupt与complex/less-complex各使用20对提示×12模型=240 videos，只做人类正确性判断。,,,9|9,4.5 Erratic Visual Changes|4.6 Higher Complexity
iclr-2026-8da8f79c49d5,ICLR,oral,implementation_sources,observed,附录列7个开源模型的repo/license，闭源模型访问方式及Luma API。,,,15|16,E Model Application Details|E Model Application Details
iclr-2026-8da8f79c49d5,ICLR,oral,video_duration,observed,11个模型为5秒，Open-Sora为2秒，Step-Video-T2V为8秒。,,,32,Table 14
iclr-2026-8da8f79c49d5,ICLR,oral,random_seeds,not_present,正文与附录均未报告generator seed、CAP sampling seed或标注抽样seed。,,,7,4 Video Generation Results
iclr-2026-8da8f79c49d5,ICLR,oral,hardware,not_present,生成、CAP推理与fine-tuning均未报告硬件。,,,15,E Model Application Details
iclr-2026-8da8f79c49d5,ICLR,oral,full_generation_budget,not_present,仅零散给出Hunyuan/Wanx生成时间和Open-Sora sampling steps，未给12模型统一预算与关键超参数。,,,16,G Performance Between Models
iclr-2026-8da8f79c49d5,ICLR,oral,data_leakage_control,not_present,没有测试benchmark prompts或场景是否进入各生成模型训练数据，也未提供去重/污染检查。,,,5,3.1 Dataset Creation Pipeline
iclr-2026-8da8f79c49d5,ICLR,oral,statistical_uncertainty,not_present,主结果报告比例、ROC-AUC、precision/recall与差值，但无区间、假设检验、bootstrap或多重比较处理。,,,8|15,Table 3|Table 5
iclr-2026-fac989b896c5,ICLR,oral,prelisted_research_questions,not_present,"No numbered RQ or hypothesis list; §6 headings retrospectively organize performance, data-mixture transfer, and harness adaptation.",,,7,§6 Experimental Results
iclr-2026-fac989b896c5,ICLR,oral,datasets,observed,"13 sources spanning coding, software engineering, API/tool use, and web browsing; raw collection exceeds 1.3M instances.",,,7,§5.1
iclr-2026-fac989b896c5,ICLR,oral,effective_training_scale,observed,"After sampling and domain filtering, OpenHands/SWE-Agent use about 30K non-web examples and AgentLab about 20K web examples.",,,19|19,Appendix C.1|Appendix C.1
iclr-2026-fac989b896c5,ICLR,oral,base_models,observed,"Main tables use Qwen2.5-Coder-Instruct at 7B, 14B, and 32B; transfer/equal-scale comparisons also use Qwen2.5-7B-Instruct and Qwen-3-8B.",,,7|9,§5.1|Table 6
iclr-2026-fac989b896c5,ICLR,oral,agent_harnesses,observed,"OpenHands CodeActAgent, AgentLab, and SWE-Agent provide three distinct action/interface environments.",,,7,§5.1
iclr-2026-fac989b896c5,ICLR,oral,benchmarks,observed,"SWE-Bench Verified, WebArena, AgentBench OS, and GAIA; availability of evaluation code and agent specialization guide selection.",,,7,§5.2
iclr-2026-fac989b896c5,ICLR,oral,metric,observed,All main benchmark tables report Accuracy point estimates.,,,8,Table 3
iclr-2026-fac989b896c5,ICLR,oral,sampling_weights,observed,Per-dataset multiplier w_d controls up/downsampling; the union is shuffled each epoch.,,,18,Appendix C
iclr-2026-fac989b896c5,ICLR,oral,random_seed,observed,"A fixed seed is stated, but its value and number of repeated runs are not reported.",,,18,Appendix C
iclr-2026-fac989b896c5,ICLR,oral,domain_filtering,observed,Coding/SWE harnesses exclude web datasets; AgentLab excludes coding/SWE datasets.,,,19|19,Appendix C.1|Appendix C.1
iclr-2026-fac989b896c5,ICLR,oral,sft_implementation,observed,All models are fine-tuned with the same LLaMA-Factory SFT pipeline.,,,7,§5.1
iclr-2026-fac989b896c5,ICLR,oral,training_hyperparameters,not_present,"Learning rate, optimizer, batch size, context length, epoch/step count, scheduler, and checkpoint selection are absent from the PDF.",,,7|18,§5.1|Appendix C
iclr-2026-fac989b896c5,ICLR,oral,training_budget,not_present,"Training tokens, steps, wall time, and compute budget are not reported.",,,7,§5.1
